testo_recensione,reparto,sentiment
Accoglienza calorosa,Reception,Positivo
Check-in rapido e cortesia estrema,Reception,Positivo
Problemi con la prenotazione,Reception,Negativo
Cibo delizioso e servizio rapido,F&B,Positivo
Materie prime eccellenti,F&B,Positivo
"Tutto splende, pulizia eccellente",Housekeeping,Positivo
Ambiente igienizzato e profumato,Housekeeping,Positivo
Accoglienza calorosa,Reception,Positivo
Accoglienza calorosa,Reception,Positivo
Bagno non pulito,Housekeeping,Negativo
Attesa infinita al check-in,Reception,Negativo
Receptionist molto gentile e disponibile,Reception,Positivo
Stanza in condizioni impeccabili,Housekeeping,Positivo
Accoglienza calorosa,Reception,Positivo
Asciugamani mancanti,Housekeeping,Negativo
Materie prime eccellenti,F&B,Positivo
Receptionist molto gentile e disponibile,Reception,Positivo
Cibo freddo e cameriere sgarbato,F&B,Negativo
Colazione scarsa,F&B,Negativo
Attesa infinita al check-in,Reception,Negativo
Stanza in condizioni impeccabili,Housekeeping,Positivo
Colazione scarsa,F&B,Negativo
Asciugamani mancanti,Housekeeping,Negativo
Esperienza gastronomica di livello,F&B,Positivo
Receptionist molto gentile e disponibile,Reception,Positivo
Attesa infinita al check-in,Reception,Negativo
"Tutto splende, pulizia eccellente",Housekeeping,Positivo
Stanza in condizioni impeccabili,Housekeeping,Positivo
Colazione scarsa,F&B,Negativo
Stanza in condizioni impeccabili,Housekeeping,Positivo
Check-in rapido e cortesia estrema,Reception,Positivo
Cibo delizioso e servizio rapido,F&B,Positivo
Attesa infinita al check-in,Reception,Negativo
"Tutto splende, pulizia eccellente",Housekeeping,Positivo
Check-in rapido e cortesia estrema,Reception,Positivo
Cibo freddo e cameriere sgarbato,F&B,Negativo
Accoglienza calorosa,Reception,Positivo
Problemi con la prenotazione,Reception,Negativo
Stanza in condizioni impeccabili,Housekeeping,Positivo
Stanza in condizioni impeccabili,Housekeeping,Positivo
Receptionist molto gentile e disponibile,Reception,Positivo
Check-in rapido e cortesia estrema,Reception,Positivo
Arredi curati e pulizia profonda,Housekeeping,Positivo
Asciugamani mancanti,Housekeeping,Negativo
Cibo delizioso e servizio rapido,F&B,Positivo
Check-in rapido e cortesia estrema,Reception,Positivo
Attesa infinita al check-in,Reception,Negativo
Colazione scarsa,F&B,Negativo
Personale scortese,Reception,Negativo
Problemi con la prenotazione,Reception,Negativo
Ristorante disorganizzato,F&B,Negativo
Materie prime eccellenti,F&B,Positivo
Arredi curati e pulizia profonda,Housekeeping,Positivo
Cibo delizioso e servizio rapido,F&B,Positivo
Materie prime eccellenti,F&B,Positivo
Cibo freddo e cameriere sgarbato,F&B,Negativo
Materie prime eccellenti,F&B,Positivo
Personale scortese,Reception,Negativo
Arredi curati e pulizia profonda,Housekeeping,Positivo
Materie prime eccellenti,F&B,Positivo
Esperienza gastronomica di livello,F&B,Positivo
Colazione scarsa,F&B,Negativo
Attesa infinita al check-in,Reception,Negativo
Stanza in condizioni impeccabili,Housekeeping,Positivo
"Tutto splende, pulizia eccellente",Housekeeping,Positivo
Cibo delizioso e servizio rapido,F&B,Positivo
Colazione scarsa,F&B,Negativo
